;struct;abs_ads [mol/uc];abs_ads [mol/sc];abs_ads [mg/g];abs_ads [mg/cm3];abs_ads [mol/kg];abs_ads [cm3STP/g];abs_ads [cm3STP/cm3];q_st [kjmol]
4109;ses-a_12-03-09_12-03-09_30-03-09_02-05-09_02-05-09_02-05-09_02-05-09_02-05-09;5480.96;5480.96;1012.4640734551041;54.58556181491198;63.11152241664;1414.580132197888;76.26507771750401;4.968701681177478
4110;tfc-e_31-02-06_31-02-06_29-02-06_03-02-06_03-02-06_03-02-06;827.06;827.06;1559.8171802945417;53.13686820519458;97.23054817372;2179.323149257696;74.24101261454801;4.650417393978373
4111;bzd_28-03-12_28-03-12_28-03-12_28-03-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12_07-12-12;2121.68;2121.68;885.5285430409439;60.25960078839594;55.199049466439995;1237.230155988288;84.19265067074399;5.598686466897741
4112;iac-d_16-05-09_16-05-09_28-05-09_01-03-09_01-03-09;4713.5;4713.5;1401.6484817214002;54.4541233376714;87.3711686826;1958.3352599684501;76.08143637545;4.815308559846783
4113;nba_25-08-01_21-08-01_01-01-01_01-01-01;916.2;916.2;1259.29319918868;57.48228510920476;78.49751220864;1759.4413341204597;80.31228030611999;5.319190296415543
4114;csp_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None;2195.08;2195.08;666.077035625948;70.8024605652232;41.51963198634;930.6200245749682;98.922773293416;7.15220478460367
4115;ofp_14-02-06_29-02-06_28-02-06_None_None;287.86;287.86;808.6680534639681;64.70567183782637;50.407983158696;1129.843311963084;90.40454888614398;6.2402274023061866
4116;bzd_29-02-06_28-02-06_29-02-06_29-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06_02-02-06;3941.18;3941.18;1566.6764489514019;51.977989048403195;97.658117713776;2188.9066848425973;72.621866352096;4.618119327860209
4117;tdc_28-03-12_28-03-12_28-03-12_09-12-12_09-12-12_09-12-12_09-12-12_09-12-12_09-12-12_09-12-12_09-12-12_09-12-12;4120.34;4120.34;904.9652899550621;60.39190247330722;56.41063097010599;1264.3865131582438;84.377498053002;5.462315322386637
4118;dtc_29-03-04_29-03-04_29-03-04_01-02-04_01-02-04_01-02-04_01-02-04_01-02-04_01-02-04_01-02-04;1469.08;1469.08;993.975342737988;59.11768435271526;61.95903516292;1388.7483108526922;82.59720413205201;5.693754955231361
4119;oku-a_16-02-06_16-02-06_02-02-06_02-02-06_02-02-06_02-02-06;1492.74;1492.74;530.858106264654;69.69360133973466;33.090816854106;741.6967671029341;97.37351316939599;6.427447658023569
4120;ths-b-c_21-08-01_21-08-01_01-01-01_02-01-01;26.5022226;238.52000340000004;132.67261359834345;78.59504062627082;8.27009159450482;185.3656324261753;109.810299323383;9.74970491388417
4121;ths-c_12-03-04_02-02-04_01-02-04;40.025;160.1;453.09259771482505;105.41055587451949;28.243336603714997;633.0454616405974;147.27601894608;9.39814296025487
4122;yao_24-02-05_24-02-05_15-02-05_15-02-05_15-02-05_02-04-05_02-04-05_02-04-05_02-04-05;3088.08;3088.08;1823.545741882608;50.65835964846674;113.66995722285601;2547.795664464696;70.778125339488;4.715313459803341
4123;hna_18-12-12_23-12-12_02-03-12_02-03-12_02-03-12;216.96666700000003;650.9000010000001;215.89114086241764;126.51673600375223;13.457483513218527;301.63570897171326;176.76485106722654;13.713077350338882
4124;pbz-b_20-08-01_12-01-01_None_None;2663.72;2663.72;720.4123868978637;72.92988804304431;44.906603310600005;1006.5355166894759;101.89514211381601;6.389114782665829
4125;tfj_32-02-06_29-02-06_31-02-06_02-02-06_01-02-06;902.84;902.84;1405.371248272548;54.20366791237958;87.60322598859601;1963.536582017072;75.731508636088;5.104661725702461
4126;lon-b_28-02-05_30-04-05_None_None;39.39;157.56;433.5311328215789;102.71635159555846;27.023980911642;605.714852764242;143.511768989355;8.850263666215582
4127;fth_29-02-04_29-02-04_04-03-04_04-03-04_04-03-04_04-03-04_04-03-04_04-03-04_04-03-04;4376.4;4376.4;1304.34139297392;56.041910374525486;81.30557233512;1822.3811279713198;78.29983805783999;5.102857768199929
4128;tpy_16-01-01_16-01-01_16-01-01_07-08-01_07-08-01_07-08-01;839.74;839.74;1836.621270391776;52.064289154611934;114.48501482644602;2566.064344946586;72.742441895024;5.095812008656443
4129;pts_24-03-09_30-05-09_None;67.085;268.34;527.9908662992235;83.48726647040789;32.912088690413;737.6907576632266;116.64554974116498;7.479668766402672
4130;ubo_31-02-08_29-02-08_08-10-08_09-10-08;1254.48;1254.48;624.4368113754961;76.48583637249988;38.924006192688005;872.441729491512;106.86339138052801;6.4353891637526175
4131;pcb-b_29-02-08_28-02-08_08-10-08_09-10-08;715.46;715.46;759.075032283776;68.27213991367638;47.31662299662;1060.55364099391;95.38749594496801;6.794511379840288
